id;username;text;retweets;geo;sentiment
1.18715539247797E+018;LaraCristinaMo1;Fala não, já tava aqui querendo pedir sapato na Dafiti;0;;0
1.18711725453572E+018;__Maaaaah;Meus sapatos chegaram ontem, tô apaixonada por cada um deles Só acho que a @dafiti_brasil tinha que me patrocinar só pelo tanto que eu compro e divulgo pra todo mundo;0;;0
1.18710282436415E+018;gueibsss;Ontem comprei 4 pares de sapato na dafiti e hoje um curso na espm e hoje de mandar meu horóscopo estava falando pra não gastar por impulso;0;;0
1.18705323661792E+018;imndrssl;Eu saindo da loja depois de experimentar um sapato e falar pro vendedor que não gostei mas na verdade to indo comprar na dafiti que é mais barato;2;;0
1.18682886282041E+018;caronline_;Nossa que sapato lindo vou lá na dafiti ver se tem uma versão duzentos reais mais barata;0;;0
1.18607898275371E+018;brunazaias;Eu queria dizer hoje que o melhor site pra pedir roupa/sapato é da @dafiti_brasil 100%. Primeiro que comprei um tênis com um descontão mara, paguei frete nenhum e ainda chegou em dois/2/DOIS dias;0;;0
1.1857211921305E+018;dramawnn;todo dia uma Taynara diferente vendo sapatos no site da dafiti sem comprar nenhum;0;;0
1.18516344593265E+018;coIIete;Eu entendo, já passei por isso com várias empresas, não compro mais coisas na @submarino na @centauroesporte e na @dafiti_brasil por isso, a Dafiti por exemplo levou 7 meses pra devolver meu dinheiro depois que devolvi um sapato;0;;1
1.18505646172824E+018;Rafaela16mello;Essas horas da madrugada ouvindo música, chorando e olhando sapato/roupas pra comprar na Dafiti pq equilíbrio é tudo Ser uma chorona arrumada;0;;0
1.18502005052223E+018;aap_amanda;Comprei uns sapatos na @dafiti_brasil e to exatamente assim#;0;;1
1.1848260942283E+018;GafanhotoApp;[dafiti] Sapato Baby Menino Ortopé Papai Branco - Compre Agora só R$44,99 https://gafanho.to/oferta/dafiti-sapato-baby-menino-ortope-papai-branco-compre;0;;1
1.18458932398487E+018;yfsoliveira;Lembrando que fiz junto com o mesmo pedido três pares de sapato e os mesmos já chegaram. Só o relógio que apresentou essa demora. Nunca tive problemas com vocês...;0;;0
1.184537427635E+018;teixeira_s;mesmo que minha maquiagem atual tenha 3 itens, meu último sapato comprado tenha sido no saldão da dafiti e minha última brusinha nova tenha sido um desapego da minha mãe rs;0;;0
1.18394060349267E+018;debss_l;só quero os sapatos que eu coloquei na sacola da dafiti;0;;0
1.18390290284432E+018;Eulolodiias;Meus sapatos chegaram obg @dafiti_brasil pelo mimo;0;;0
1.18382783166464E+018;blogdoerrado;E voces vao continuar vendendo sapatos de ma qalidade?... É isso aí;0;;1
1.18367303351866E+018;paulabridges_;Ai pronto, comprei outro sapato na Dafiti ... Vou processar esse tal de mkt digital já era esse negócio é golpe. Eu fico desempregada mas não fico pobre, pronto;0;;1
1.18354135939696E+018;wingardiumswift;aqui em casa todo mundo compra na dafiti, desde roupa, sapato e bolsa a roupa de cama, toalha e etc e sempre veio tudo certinho e até antes do prazo;0;;0
1.18318211456243E+018;blogdoerrado;Em apenas 4 meses o sapato já está se abrindo... É sempre assim @dafiti_brasil com os sapatos da west coast?;0;;1
1.18278689176411E+018;vicabadin;Dafiti me manda 100 pila de desconto e oq eu faço? Compro 3 sapatos. Eu tenho dinheiro pra td isso? Não. Parcelei? Parcelei. Agora preciso de um emprego kkkk;0;;0
1.18248349122267E+018;l33l4h;amiga só toma cuidado com sapato da dafiti pq eu estou numa neura que eles vendem réplica com preço de original;0;;1
1.18243079590405E+018;maxcarenhax;Eu tô querendo comprar 3 sapatos e 1 bolsa na dafiti, pq me deram um cupom de 30% de desconto e um outro de 10%. PORÉM VÃO ME MATAR SE EU PEDIR O CARTÃO DE NOVO. (Eu que pago a porra dos boletos, tnc);0;;1
1.18194753900163E+018;alelobrasil;Precisando de roupas e sapatos? Te damos até 30% de desconto em mais de 14 mil produtos na @dafiti_brasil. Isso mesmo, tem pra todos os gostos! Resgate no Clube Alelo: https://alelo.in/2K5rGR9. #cupom #desconto #oferta #moda #ClubeAlelo #Alelo;0;;1
1.18169808962475E+018;kffeitosa_;Entrar na aba de sapatos da dafiti é com certeza minha perdição. Nunca tinha percebido o quão viciada em sapato eu era até estar desempregada e não poder comprar todos que eu quero!;0;;0
1.18135633736149E+018;KowiiB;Tô precisando de sapato, comprei 4 tênis por 200 reais na Dafiti.....vai durar um ano, mas tá ótimo;0;;0
1.18102799895223E+018;mandidourado;Véi sapato da dafiti estraga muito rápido af;0;;0
1.17995023187148E+018;thaanizio;Meus sapatos novos chegaram, @dafiti_brasil conte cmg pra tudoooo;0;;0
1.17979888866606E+018;jupiconi;eu tenho tanta coisa pra fazer e fico procurando sapatos na dafiti pra colocar na minha lista de compras;0;;1
1.17941819093966E+018;paolabossan;@dafiti_brasil eu quero DEVOLVER dois pares de sapato que vieram a mais, me ajuda a te ajudar;0;;1
1.17937854107245E+018;LifeFucker;Eu ontem: vou economizar 100% esse mês Eu hoje: dafiti tá na promoção. Comprei 7 pares de sapato.;0;;1
1.17904564294719E+018;isadoraheller;Promoção 2 sapatos por 150 na dafiti TUDO QUE É MODELO meninas interessadas chamem vamos fazer compras;0;;1
1.17886761751745E+018;VvGCruz;Pedi uns sapatos na Dafiti e to contando os dias p chegar;0;;0
1.17867370697083E+018;_dycherres;Poize .... ah e lá na dafiti e kanui mesmo q não tenham essas promoções os sapatos são mãos baratos e tem sempre uns descontos como ganhe 20 reais na primeira compra as vezes se achar um all star mas barato já da pra tirar vintão;0;;1
1.17867205542586E+018;_dycherres;Procura as ótimo da dafiti tipo 4 sapatos por 200 ou 2 por 169;0;;1
1.1783512911579E+018;GafanhotoApp;[dafiti] Kit Sapato Social Com Relógio Topflex Verniz 813 Preto por R$109,99 https://gafanho.to/oferta/kit-sapato-social-com-relogio-topflex-verniz-preto;0;;1
1.17831598821703E+018;GafanhotoApp;[dafiti] Kit Sapato Social Com Relógio Topflex Verniz 813 Preto - Compre Agora por R$109,99 https://gafanho.to/oferta/dafiti-kit-sapato-social-com-relogio-topflex-verniz;0;;1
1.17763930997913E+018;jucholanda;Amei toda coleção de sapatos da chata de galocha pra dafiti. Se alguém me amar e quiser me dar de presente... #dicas;0;;0
1.17733683198734E+018;ThaisaM;Realmente na dúvida se compro uma chapinha nova, um primer da Beyoung ou um sapato na dafiti;0;;1
1.17704490472535E+018;c_ene95;Olhando sapatos na Dafiti como se eu tivesse dinheiro pra comprar;0;;1
1.17703223911852E+018;baatist;entrei no site da dafiti, e vi q ainda sou doente por sapatos n sei ver um só.............. n mudo mesmo desse mundo social q odeio/amo;0;;1
1.17700562107129E+018;icamachado2;@dafiti_brasil como assim o sapato custa 89 e o frete 43?;0;;1
1.17667884899965E+018;ju_tschaen;Eu: nossa, tomara que ngm descubra que esse sapato foi baratim Menina na faculdade: nossa eu tênis bonitinho, queria um igual Eu: 3 por 150 na Dafiti;0;;0
1.17506363371125E+018;nescaiara;Pobre com cartão de crédito é que nem um caminhão desgovernado. Eu tô há 3 dias colocando sapatos no carrinho da Dafiti Espero que não tenha coragem de fechar a compra Ajuda Deus;0;;0
1.17487006212729E+018;whoismendy;tem dois sapatos na dafiti que eu queria muito comprar, mas no momento se eu comprasse minha mãe comeria meu cu;0;;0
1.17441927345388E+018;adsonbahia;@dafiti_brasil um sapato legal,um relógio que não vale 15 reais ,uma carteira que não vale 2 e o cinto estava grande até aí tudo bem que posso corta,mais quando tirei a fivela ela quebrou,uma compra de 129.00 mais frete que me trouxe muito arrependimento #dafiti;0;;1
1.1743284279708E+018;luancavallari;Comprei dois pares de sapatos diferentes na @dafiti_brasil, vendidos e entregues por meios diferentes, chegou apenas um, no site tá que os dois foram entregues e na transportadora disseram que entregaram pra um vizinho, gente isso não existe não;0;;1
1.17431860100172E+018;sofiarosa_;Essas promoções de 500 sapatos por 99,00 reais estão acabando comigo... né dona @dafiti_brasil? KKKKKKKKKKKKKKKKKKKKKKKK;0;;0
1.17411654561579E+018;fabriciozago;primeira e última vez que compro um sapato pela internet. produto chegou sem qualquer selo de procedência, fabricante e tamanho, com nota fiscal emitida por pessoa física. E olha q a #Dafiti diz que só vende produtos de marca. Aham...;0;;1
1.17369890851566E+018;bruxinha131;Meus sapatos da @dafiti_brasil chegaram;0;;1
1.17367700838099E+018;PablloVittek;tô pra comprar um sapato neway que tá na promoção na @dafiti_brasil mas o preço do frete coloca o valor bruto e a promoção no fim não vale de nada. Mesma coisa na @SigaZattini . Mas se fosse no Sul o frete tava de boa. Uó!;0;;1
1.17357628541683E+018;priskika;Nunca tem sapato tamanho 37 na Dafiti. A solidão da mulher normal;0;;1
1.17331423890077E+018;debss_l;enchendo minha sacola na dafiti de sapatos;0;;0
1.17187259109257E+018;_laucastt;Meu sapato é da Dafiti;0;;0
1.17153815392622E+018;foxxyup;Vulgo eu mesma que comprei uma calça branca hj e tô no site da Dafiti pra comprar sapato;0;;0
1.17142841598495E+018;OtalHebinholll;Mano, comprei um sapato + carteira + cinto na dafiti por um preço que não dava nem o sapato. E chegou tudo certinho e de boa qualidade. Dafiti é o aliexpress brasileiro haha hahahaha Agora não tenho mais medo hahaja;0;;0
1.17071458247163E+018;REPAGANI;Calçados e Moda Online - Sapatos, Roupas, Bolsas e Mais | Dafiti https://m.dafiti.com.br/;0;;1
1.17004604643475E+018;edriacaroline;Quero opiniões de consumidores sobre a Dafiti. Eu tô me batendo TODA pra comprar um sapato, mas o medo das compras online é GRANDE.;0;;1
1.16973122503833E+018;arrobadasara;MDS pq que a dafiti tá sugerindo sapato de criança pra mim????? Será que eu to grávida e não sei? Sério to mto preocupada.;0;;0
1.16965660100915E+018;ofilipecabeca;Só queria que o meu sapato chegasse hoje @dafiti_brasil;0;;1
1.16884319028953E+018;faleirosmari;teve um tempo que meu sonho era morar nesse apê aqui. agora quero um dia comprar aqueles combos de 3 sapatos por 200 pila da dafiti;0;;0
1.16868160823436E+018;isbamorais;entrar no site da dafiti pra ficar vendo sapato que nunca vou comprar;0;;1
1.16867980378607E+018;clarissapaiva;muito triste ser sapatão (mulher com o pé grande) e não conseguir aproveitar as promoções de calçado da dafiti porque a maioria dos sapatos femininos só vai até 39;0;;0
1.16863940165787E+018;dafiti_brasil;Então me ajude a segurar essa barra que é gostar de comprar sapatos! https://twitter.com/lunbs1/status/1166528987197321216;0;;0
1.16832216251365E+018;giagermeister;gi fala sites pra comprar roupinhas pfvr — p compra online eu nem conheço mt viu, mas eu entendo mt de lojas físicas c preços em conta. online eu só compro algumas peças qnd tem sale na youcom e sapato na dafiti. e tem o brechó d4…;0;;0
1.16793651445975E+018;dona7saias;Caraca, eu compro meus sapato na dafiti e chega pelo correio e olha que uso uns salto agulha hein;0;;0
1.16754287970056E+018;GafanhotoApp;[dafiti] Sapatênis Sapato Casual Juilli Com Relógio Com Cadarço 1100L Café Marrom por R$129,99 https://gafanho.to/oferta/sapatenis-sapato-casual-juilli-com-relogio-com-cadarco;0;;1
1.16754095057657E+018;GafanhotoApp;[dafiti] Sapatênis Sapato Casual Juilli Com Relógio Com Cadarço 1100L Café Marrom - Compre Agora... https://gafanho.to/oferta/dafiti-sapatenis-sapato-casual-juilli-com-relogio-com;0;;1
1.16723207519329E+018;middlebum;quais lojas virtuais você me indica pra compra sapato bonito — yellow factory, vilela boots, cravo e canela, inboxshoes, loja reversa, dafiti;0;;0
1.16704120107957E+018;analindimais;Os sapatos da Capodarte estão em promoção na Dafiti, ÇOCORRRRRR;0;;0
1.16685072747982E+018;Jessika_L;E o que eu tô querendo falar com isso? Que eu comprei dois produtos na @dafiti_brasil, um sapato e um corretivo. O segundo produto acabei de receber, e ele veio embalado assim:;0;;0
1.16652898719732E+018;lunbs1;900 reais eu compro 27 pares de sapato na Dafiti;1;;0
1.16649631326717E+018;seisdeboras;desinstalar dafiti desinstalar dafit desinstalar dafi desinstalar daf desinstalar da desinstalar d OLHA QUE SAPATO BONITINHO;0;;0
1.16617073119506E+018;NiquellyB;Tenho que parar de comprar sapatos, já não tenho mais espaço pra guardar nenhummmm!! Porém, eu não resisto as promoções da Dafiti.;0;;0
1.16614621063956E+018;amayarapb;Já sentei e chorei pq o sapato que troquei na @dafiti_brasil ainda ficou grande e não consigo trocar mais. É isso.;0;;1
1.16502622044002E+018;dafiti_brasil;Mood: salvando sapatos e roupas na Dafiti para comprar assim que eu tiver dinheiro**;1;;0
1.1648479430415E+018;GafanhotoApp;[dafiti] Sapatos, tenis e botas com até 60% de desconto gratis relógio de pulso. https://gafanho.to/oferta/sapatos-tenis-botas-com-ate-de-desconto-gratis;0;;1
1.16484742470956E+018;hardmob_promo;[DAFITI] Sapatos, tenis e botas com até 60% de desconto gratis relógio de pulso. https://www.hardmob.com.br/threads/724919-DAFITI-Sapatos-tenis-e-botas-com-ate-60-de-desconto-gratis-relogio-de-pulso;0;;1
1.16455752120766E+018;rafaela_juhh;Isso que dá ficar vendo sapato na Dafiti;0;;1
1.16455239553743E+018;maaahnunesl;GIRLS, alguém já comprou sapatos no app dafiti??;0;;1
1.16429548347876E+018;throneofash;nenhum sapato que comprei na dafiti serviu no meu pézinho de princesa;0;;1
1.16423718237214E+018;Apeaga_10;Comprei sapatos pra antonella na @dafiti_brasil no sábado a tarde e acabei de receber eles aqui em casa. Satisfação total ! Isso que o prazo era pra quinta ou sexta feira.;0;;0
1.16423047836437E+018;erlaanne;Fui comprar um sapato na Dafiti, aí como os cartões já são cadastrados eu confirmei a compra no de mãe sem prestar atenção. Ela me ligou virada, foi mais ligeira que o site pra confirmar a compra.;0;;0
1.16388548888281E+018;zainshutup;1 horas namorando sapato e bolsa na dafiti carrinho deu mais de mil reais os favoritos então nem se fala.....;0;;0
1.16323746958171E+018;throneofash;falei que ia economizar mas acabei de comprar 5 pares de sapatos na dafiti;0;;0
1.16317583022847E+018;churiana;Fui olhar meu Facebook e os anúncios são sapatos (Insecta e um outro que não conheço), ANPOF, Dropbox, pet shop, maquininha de pagamento, uma revista chamada qb, meias e almofadas personalizadas, Renner, Soundfly, supermercado pão de açúcar e Dafiti...;0;;1
1.16314502434907E+018;Ooh_zeh;acabei de comprar sapatos da Dafiti;0;;0
1.16275141510795E+018;agathaayla_;minha mãe esses dias comprou uma bota pela internet sem querer, aí ontem tava vendo mochila pra carregar cachorro e comprou sem ver também, aí foi comprar uns sapatos na Dafiti e comprou o mesmo modelo duas vezes sem perceber kkkkkkk alguém tira a internet dela;0;;0
1.16222156447923E+018;Hello_nessinha;E o meu hobby que é ficar entrando e saindo do app da @dafiti_brasil sem comprar nada, só olhando as promoções e imaginando quando eu tiver um trabalho vou torrar todo meu money em roupas, bolsas e sapatos. Por que na dafit tem varios cupons de descontos;0;;0
1.16214158907196E+018;aninhamafra_;ontem eu passei literalmente a tarde INTEIRA procurando roupa e sapato na dafiti e adivinha? Tudo o que eu gostei estava esgotado! white problem do dia de alguém que calça 34 e veste p;0;;1
1.16211823026732E+018;hippiefromearth;comprei uma calça e um sapato q k devia simplesmente pq a dafiti ta demorando séculos;0;;1
1.16175958653526E+018;GafanhotoApp;[dafiti] Sapato Couro West Coast Liso Marrom por R$94,99 https://gafanho.to/oferta/sapato-couro-west-coast-liso-marrom;0;;1
1.16175355929111E+018;GafanhotoApp;[dafiti] Dafiti | Sapato Couro West Coast Liso Marrom | R$94,99 | 2x https://gafanho.to/oferta/dafiti-sapato-couro-west-coast-liso-marrom;0;;1
1.16175319237759E+018;hardmob_promo;Dafiti | Sapato Couro West Coast Liso Marrom | R$94,99 | 2x https://www.hardmob.com.br/threads/724230-Dafiti-Sapato-Couro-West-Coast-Liso-Marrom-R-9499-2x;0;;1
1.16145192404822E+018;dougcosta_27;Agora sapatos de modo geral, a dafiti é uma boa opção;0;;0
1.16024220925556E+018;amayarapb;10min esperando e eu comprei 3 sapatos na Dafiti;0;;0
1.16001002452304E+018;LeoSturmer;Amiga nunca mais compre sapatos na dafiti;0;;1
1.15985247722063E+018;marianadniela;e eu que comprei 4 sapatos na dafiti e ta chegando um por dia;0;;0
1.1595286263098E+018;amandaalima__;Fui comprar 2 calçados na Dafiti e o frete saiu mais caro que os sapatos kkkkk ata que vou comprar;0;;1
1.15929626243437E+018;viajesdeaventur;Calçados e Moda Online - Sapatos, Roupas, Bolsas e Mais | Dafiti-Compre calçados e moda online na Dafiti. Aqui você encontra as melhores marcas de sapatos, roupas, bolsas, acessórios, perfumes, produtos de beleza e decoração. Aproveite! https://bit.ly/31tvQsX;0;;1
